customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_group,avg_monthly_spend
6519-cfdbx,female,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.4,80.95,no,0-6,26.983333333333334
3902-mivle,male,0,yes,yes,63,yes,yes,dsl,yes,no,yes,yes,no,yes,two year,no,mailed check,75.7,4676.7,no,48+,73.0734375
0409-wtmpl,female,0,yes,no,58,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,credit card (automatic),110.65,6526.65,no,48+,110.62118644067796
8763-kiafh,female,0,yes,yes,27,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,20.55,583.3,no,24-48,20.832142857142856
3669-whafy,female,0,yes,no,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),115.15,8078.1,no,48+,112.19583333333334
3055-vtcgs,female,0,no,no,63,yes,no,dsl,no,no,yes,no,no,yes,one year,no,credit card (automatic),58.55,3503.5,no,48+,54.7421875
3144-kmtwz,male,0,yes,no,71,yes,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),93.25,6669.45,no,48+,92.63125
7279-buywn,female,1,no,no,41,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,electronic check,113.2,4689.5,yes,24-48,111.6547619047619
7156-mhugy,male,1,no,no,13,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,90.5,1201.15,yes,12-24,85.79642857142858
7198-glxtc,male,0,no,no,2,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,no,electronic check,79.0,143.65,yes,0-6,47.88333333333333
2007-qvgaw,female,0,yes,yes,68,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.35,1292.65,no,48+,18.734057971014494
5207-plstk,male,0,yes,yes,1,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,48.75,48.75,no,0-6,24.375
2307-fynnl,male,1,no,no,65,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,electronic check,109.05,7108.2,no,48+,107.7
5605-xnwen,male,1,yes,no,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),25.0,1802.55,no,48+,24.692465753424656
2155-amqrx,female,0,no,no,28,yes,yes,dsl,no,no,no,yes,no,no,month-to-month,yes,credit card (automatic),54.9,1505.15,no,24-48,51.90172413793104
6181-axxyf,male,0,yes,yes,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.75,1859.1,no,48+,25.46712328767123
5091-hfazw,female,0,no,no,2,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,91.15,168.5,no,0-6,56.166666666666664
0516-vrybw,female,0,no,yes,18,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),20.15,390.85,yes,12-24,20.571052631578947
2519-lbnql,male,1,yes,no,60,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,104.35,6339.45,no,48+,103.92540983606557
8623-ulfnq,female,1,no,no,26,yes,yes,dsl,no,no,no,yes,no,yes,month-to-month,yes,electronic check,66.05,1652.4,no,24-48,61.2
8380-pefpe,male,0,no,yes,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,71.65,71.65,yes,0-6,35.825
5687-dkdtv,female,0,no,no,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.35,77.5,yes,0-6,15.5
1568-ljszu,male,0,yes,yes,68,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),92.2,6392.85,no,48+,92.65
7530-hdyds,female,0,no,no,38,yes,no,fiber optic,no,yes,yes,yes,no,no,month-to-month,yes,credit card (automatic),84.25,3264.5,yes,24-48,83.7051282051282
7789-hksbs,female,1,yes,no,42,yes,yes,fiber optic,yes,no,yes,no,yes,yes,one year,yes,bank transfer (automatic),105.2,4599.15,no,24-48,106.95697674418604
7416-cktep,female,0,yes,no,57,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.6,1134.25,no,48+,19.55603448275862
2586-cwxvv,male,0,yes,no,54,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,no,electronic check,30.4,1621.35,no,48+,29.479090909090907
3096-izetn,female,0,no,no,12,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,bank transfer (automatic),78.1,947.3,yes,6-12,72.86923076923077
2348-kcjlt,female,0,yes,no,44,yes,no,dsl,yes,yes,yes,no,no,no,one year,yes,mailed check,61.5,2722.2,no,24-48,60.49333333333333
8401-emuwf,male,0,yes,yes,42,yes,yes,dsl,yes,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),69.4,3058.3,no,24-48,71.12325581395349
4193-ibksw,male,0,yes,yes,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),24.75,1769.6,no,48+,24.241095890410957
5377-ndtou,female,0,yes,yes,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,mailed check,91.05,6293.75,no,48+,87.41319444444444
5922-abdvo,female,0,yes,no,19,yes,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,no,mailed check,89.65,1761.05,yes,12-24,88.0525
2474-lcnue,female,0,yes,no,23,yes,yes,dsl,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),73.65,1642.75,no,12-24,68.44791666666667
0839-qnxme,female,0,no,no,30,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.4,578.5,no,24-48,18.661290322580644
3506-ovlkd,male,0,no,no,35,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),26.2,954.9,no,24-48,26.525
9172-ancrx,female,0,no,no,10,yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,yes,electronic check,98.7,973.25,yes,6-12,88.47727272727273
6650-vjonk,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),43.85,43.85,no,0-6,21.925
2178-pmgcj,male,0,no,no,22,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,69.7,1490.4,no,12-24,64.8
7492-tafjd,male,0,yes,yes,7,no,no phone service,dsl,yes,yes,yes,no,no,no,two year,no,mailed check,38.55,280.0,no,6-12,35.0
2773-madbq,female,0,no,no,36,no,no phone service,dsl,yes,yes,yes,yes,no,yes,two year,yes,mailed check,53.1,1901.25,no,24-48,51.38513513513514
6016-lvtjq,female,0,yes,yes,34,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.65,716.4,no,24-48,20.468571428571426
7860-ksugx,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,no,no,no,two year,no,credit card (automatic),64.45,4720.0,no,48+,64.65753424657534
8966-kzxxa,male,0,yes,yes,36,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.1,930.95,no,24-48,25.160810810810812
6910-hadcm,female,0,no,no,1,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,no,electronic check,76.35,76.35,yes,0-6,38.175
4816-lxzyw,female,0,no,no,23,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,79.15,1676.95,yes,12-24,69.87291666666667
9606-pbkbq,male,1,yes,no,32,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.0,2642.05,yes,24-48,80.06212121212121
5149-qyttu,female,0,yes,yes,71,yes,yes,fiber optic,yes,yes,yes,yes,no,no,one year,yes,credit card (automatic),95.15,6770.85,no,48+,94.03958333333334
2070-xymfh,female,1,no,no,23,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,yes,mailed check,79.35,1835.3,no,12-24,76.47083333333333
2085-bojki,male,0,yes,no,17,yes,no,fiber optic,no,no,yes,no,yes,yes,one year,yes,bank transfer (automatic),96.65,1588.25,no,12-24,88.23611111111111
0817-hsuse,male,0,no,no,1,yes,no,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,75.5,75.5,no,0-6,37.75
5442-pptjy,male,0,yes,yes,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.7,258.35,no,6-12,19.873076923076926
1927-qewmy,female,0,yes,no,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.5,1502.25,no,48+,20.578767123287673
1663-mhlhe,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.2,19.2,no,0-6,9.6
5663-qbgis,male,1,yes,no,72,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,no,bank transfer (automatic),98.35,6929.4,no,48+,94.92328767123287
4450-mdzfx,male,0,yes,yes,60,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),74.35,4453.3,no,48+,73.00491803278689
6701-dhkwq,female,0,yes,yes,61,no,no phone service,dsl,no,yes,yes,yes,yes,no,two year,no,credit card (automatic),51.35,3244.4,no,48+,52.329032258064515
7554-akdqf,female,0,yes,no,6,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.65,323.45,no,0-6,46.207142857142856
3536-iqctx,male,1,yes,no,32,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,85.3,2661.1,yes,24-48,80.63939393939394
4911-banwh,female,0,no,yes,31,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,credit card (automatic),86.55,2697.4,yes,24-48,84.29375
8496-ejaui,male,0,no,no,19,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),73.85,1424.5,yes,12-24,71.225
0794-yvsge,male,0,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.3,1401.15,no,48+,19.193835616438356
5423-bhixo,female,0,no,no,32,yes,yes,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,54.2,1739.6,no,24-48,52.71515151515151
6908-vvyhm,male,0,yes,no,65,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,90.65,5931.0,no,48+,89.86363636363636
2959-eexwb,female,0,yes,yes,45,no,no phone service,dsl,yes,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),50.9,2333.85,no,24-48,50.73586956521739
1839-umack,male,0,no,no,42,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,25.05,949.85,no,24-48,22.08953488372093
3030-ydnrm,male,0,no,no,8,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.85,572.45,no,6-12,63.60555555555556
7321-kksdu,male,0,no,yes,32,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.5,696.8,no,24-48,21.115151515151513
3402-xriuo,female,1,yes,no,22,yes,yes,dsl,yes,yes,no,yes,no,no,month-to-month,yes,mailed check,63.55,1381.8,no,12-24,60.07826086956521
3132-tvfdz,male,1,yes,no,57,no,no phone service,dsl,no,no,no,no,yes,yes,month-to-month,yes,electronic check,44.85,2572.95,yes,48+,44.36120689655172
8286-afuyi,male,0,no,no,1,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,electronic check,47.95,47.95,no,0-6,23.975
8080-ddemj,male,1,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,45.1,45.1,yes,0-6,22.55
8356-wuaoj,female,0,yes,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.0,45.0,no,0-6,22.5
6365-mtgzx,male,0,no,no,24,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,96.0,2122.45,yes,12-24,84.898
1349-wxngg,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),20.05,20.05,yes,0-6,10.025
8058-dmyru,male,1,no,no,54,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,90.05,4931.8,no,48+,89.66909090909091
9350-zxyjc,female,0,no,no,4,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.3,116.95,no,0-6,23.39
6990-ynrio,male,0,yes,yes,65,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,no,bank transfer (automatic),108.65,6937.95,yes,48+,105.12045454545455
8958-jptrr,female,0,yes,no,56,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,24.3,1261.7,no,48+,22.135087719298248
6959-gqegv,male,0,no,no,45,yes,no,dsl,yes,no,yes,no,yes,yes,month-to-month,yes,electronic check,75.95,3273.8,no,24-48,71.16956521739131
3173-wssue,female,0,yes,yes,71,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.7,1415.85,no,48+,19.664583333333333
1265-hvpzb,male,0,yes,no,59,yes,no,dsl,yes,yes,yes,no,yes,no,one year,no,credit card (automatic),66.4,3958.2,no,48+,65.97
4115-umjfq,male,0,no,no,69,no,no phone service,dsl,no,yes,yes,no,no,no,one year,yes,bank transfer (automatic),35.75,2492.25,no,48+,35.60357142857143
7369-trpfd,male,0,no,no,19,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,18.8,279.2,no,12-24,13.959999999999999
1098-kfqec,female,0,yes,yes,55,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.4,1083.0,no,48+,19.339285714285715
7190-xhtwj,female,0,no,no,38,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.3,755.5,no,24-48,19.371794871794872
0621-twiem,male,0,no,no,10,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.55,402.6,yes,6-12,36.6
3537-rybhh,female,1,yes,no,47,yes,yes,dsl,yes,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),67.45,3252.0,no,24-48,67.75
2485-itvkb,female,0,yes,no,2,no,no phone service,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic check,35.1,68.75,yes,0-6,22.916666666666668
3669-oysji,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,credit card (automatic),46.2,46.2,yes,0-6,23.1
1612-eohdh,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,45.15,45.15,yes,0-6,22.575
6702-ohfwr,male,1,no,no,1,no,no phone service,dsl,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,43.3,43.3,yes,0-6,21.65
5296-bfcyd,male,0,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,20.1,936.85,no,24-48,19.932978723404254
4510-pyush,female,1,no,no,38,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,credit card (automatic),57.15,2250.65,yes,24-48,57.70897435897436
9359-janws,female,0,yes,no,65,yes,no,dsl,yes,no,yes,yes,no,no,two year,no,credit card (automatic),58.9,3857.1,no,48+,58.44090909090909
7517-sawmo,female,0,yes,no,19,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,73.2,1441.1,yes,12-24,72.05499999999999
4143-hhpmk,male,0,no,no,52,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,electronic check,85.35,4338.6,yes,48+,81.86037735849057
3279-dyzqm,male,0,yes,yes,71,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.45,1378.45,no,48+,19.14513888888889
7054-lgeqw,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.95,45.95,yes,0-6,22.975
0523-vngtf,female,1,no,no,52,no,no phone service,dsl,no,yes,yes,yes,yes,no,month-to-month,yes,electronic check,50.5,2566.3,no,48+,48.420754716981136
9575-iwcaz,male,0,yes,no,6,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,25.1,171.0,no,0-6,24.428571428571427
7105-mxjll,female,1,yes,no,26,yes,no,dsl,no,no,yes,no,no,yes,one year,no,mailed check,60.7,1597.4,no,24-48,59.162962962962965
7064-frrsw,male,1,no,no,48,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,yes,electronic check,99.0,4744.35,no,24-48,96.82346938775511
7940-uqqug,female,0,yes,yes,64,yes,yes,fiber optic,yes,no,no,yes,yes,yes,one year,yes,bank transfer (automatic),104.4,6721.6,no,48+,103.40923076923077
0923-pnfub,female,0,no,no,3,yes,no,fiber optic,no,yes,no,no,yes,no,month-to-month,no,electronic check,83.75,247.25,yes,0-6,61.8125
3961-sxaxy,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),44.05,44.05,no,0-6,22.025
7010-brbuu,male,0,yes,yes,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.1,1734.65,no,48+,23.76232876712329
3566-hjgpk,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,45.55,45.55,no,0-6,22.775
3062-icyzq,female,0,yes,yes,51,yes,yes,fiber optic,yes,yes,no,no,no,yes,month-to-month,yes,electronic check,93.8,4539.35,no,48+,87.29519230769232
9938-prcvk,female,0,yes,yes,41,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.7,804.25,no,24-48,19.148809523809526
0973-kyvnf,female,0,yes,yes,72,yes,no,dsl,yes,yes,yes,no,yes,no,two year,yes,credit card (automatic),70.65,5011.15,no,48+,68.6458904109589
5129-hhmzc,female,0,yes,no,43,yes,yes,dsl,yes,yes,no,yes,yes,yes,two year,no,credit card (automatic),86.45,3574.5,no,24-48,81.23863636363636
9637-cdtkz,male,0,yes,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),114.1,8086.4,no,48+,110.77260273972603
3946-jewrq,male,0,yes,no,47,yes,yes,fiber optic,no,no,no,no,yes,yes,one year,yes,credit card (automatic),95.2,4563.0,no,24-48,95.0625
7873-cvmaw,male,0,no,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),88.55,6362.35,no,48+,87.1554794520548
0463-wzzko,male,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),20.75,67.1,no,0-6,16.775
3494-jchrq,male,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.05,70.05,yes,0-6,35.025
6474-fvjlc,male,0,no,no,2,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,86.0,165.45,yes,0-6,55.15
4524-qcssm,male,0,no,no,26,no,no phone service,dsl,yes,yes,no,no,no,yes,month-to-month,yes,bank transfer (automatic),44.65,1156.55,no,24-48,42.83518518518518
5832-exgtt,male,0,yes,yes,29,yes,no,dsl,yes,no,no,no,no,yes,month-to-month,yes,mailed check,60.2,1834.15,no,24-48,61.138333333333335
8840-dqlgn,female,1,yes,no,35,yes,yes,fiber optic,yes,yes,no,yes,yes,no,month-to-month,yes,bank transfer (automatic),100.5,3653.35,yes,24-48,101.48194444444444
2039-jondj,male,0,no,no,27,yes,no,dsl,yes,yes,no,no,no,no,one year,no,bank transfer (automatic),55.45,1477.65,no,24-48,52.77321428571429
7217-jyhoq,male,0,yes,yes,24,yes,no,dsl,yes,yes,no,yes,no,yes,month-to-month,yes,credit card (automatic),70.3,1706.45,no,12-24,68.258
6695-frvec,male,0,yes,yes,67,yes,no,dsl,yes,no,yes,yes,no,no,two year,yes,bank transfer (automatic),60.4,3953.7,no,48+,58.14264705882353
4547-lytdd,female,0,no,no,16,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,72.65,1194.3,yes,12-24,70.25294117647059
9894-qmimj,female,0,no,no,23,yes,no,dsl,no,yes,yes,no,no,no,one year,no,bank transfer (automatic),55.8,1327.85,no,12-24,55.32708333333333
8069-yqqaj,male,0,no,no,14,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed check,31.1,419.7,no,12-24,27.98
6770-xuagn,female,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,21.0,21.0,yes,0-6,10.5
4193-orfcl,female,1,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.1,45.1,yes,0-6,22.55
1636-ntnco,male,1,no,no,4,no,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),50.95,207.35,no,0-6,41.47
3466-waesx,male,0,no,yes,16,yes,yes,dsl,yes,yes,no,no,no,yes,month-to-month,yes,electronic check,69.1,1083.7,no,12-24,63.747058823529414
9281-pkkze,female,0,yes,no,46,no,no phone service,dsl,no,no,no,no,yes,yes,month-to-month,yes,electronic check,43.95,2007.85,no,24-48,42.72021276595744
3638-vbzta,male,0,no,yes,68,yes,yes,dsl,yes,yes,no,yes,yes,yes,two year,yes,bank transfer (automatic),86.5,5882.75,no,48+,85.2572463768116
7459-imvyu,male,0,no,no,38,yes,yes,dsl,yes,yes,yes,yes,no,no,month-to-month,no,electronic check,69.95,2657.55,no,24-48,68.1423076923077
7776-qwnfx,male,1,yes,no,30,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),50.4,1527.5,yes,24-48,49.274193548387096
6689-tczhq,female,1,no,no,5,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,78.95,378.4,yes,0-6,63.06666666666666
8563-oymqy,male,0,no,no,17,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,credit card (automatic),90.95,1612.2,no,12-24,89.56666666666666
0754-eebdc,male,0,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.9,76.65,no,0-6,15.330000000000002
5777-zpqnc,female,0,no,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,20.15,260.7,no,6-12,20.053846153846152
1951-ieyxm,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),90.6,6441.85,no,48+,88.24452054794521
3318-nmqxl,male,0,no,no,3,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,92.0,266.8,no,0-6,66.7
3143-ildal,male,0,no,no,56,yes,yes,fiber optic,no,yes,no,yes,no,yes,month-to-month,yes,electronic check,94.45,5124.6,yes,48+,89.90526315789474
1022-rkxdr,female,0,no,no,41,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,24.85,962.25,no,24-48,22.910714285714285
2361-fjwno,male,0,no,no,40,no,no phone service,dsl,no,yes,no,yes,no,no,one year,no,credit card (automatic),36.0,1382.9,no,24-48,33.72926829268293
2272-uoini,female,0,no,no,7,yes,no,dsl,yes,yes,no,yes,yes,yes,month-to-month,yes,electronic check,78.5,571.05,no,6-12,71.38125
8232-utfoz,male,0,no,no,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.95,1399.35,no,48+,19.990714285714283
3750-yhryo,male,0,yes,yes,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.65,150.0,no,6-12,18.75
6637-kyrcv,female,0,yes,yes,5,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,30.5,167.2,no,0-6,27.866666666666664
5668-meisb,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,no,two year,no,credit card (automatic),106.1,7657.4,no,48+,104.8958904109589
0129-qmpdr,male,0,yes,yes,44,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),20.5,865.05,no,24-48,19.223333333333333
7188-cbbba,female,0,no,no,65,yes,yes,fiber optic,no,yes,yes,no,yes,no,one year,yes,electronic check,95.5,6153.85,no,48+,93.24015151515152
5356-csvsq,female,0,no,no,3,yes,yes,dsl,no,no,no,yes,yes,no,month-to-month,no,electronic check,64.6,174.2,no,0-6,43.55
3221-cjmsg,male,0,no,no,24,yes,no,dsl,no,no,no,yes,no,no,month-to-month,yes,credit card (automatic),51.1,1269.6,no,12-24,50.784
4720-vstsi,female,0,no,no,44,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),84.8,3862.55,yes,24-48,85.83444444444444
3219-jqrsl,female,1,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),89.1,6352.4,no,48+,87.01917808219177
2801-nisei,male,0,no,no,24,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,no,electronic check,54.95,1348.5,no,12-24,53.94
3946-mhczw,male,0,no,no,1,yes,no,dsl,no,no,yes,no,no,no,month-to-month,no,mailed check,50.9,50.9,yes,0-6,25.45
4623-zkhly,male,0,yes,no,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),20.45,471.55,no,12-24,20.502173913043478
6732-vaile,male,0,yes,yes,70,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),85.95,5931.75,no,48+,83.54577464788733
8201-aaxcb,male,0,yes,yes,25,yes,yes,dsl,no,no,no,no,yes,no,month-to-month,no,electronic check,60.35,1404.65,no,24-48,54.025000000000006
7696-cftat,male,0,yes,yes,37,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.8,726.1,no,24-48,19.107894736842105
1845-csbrz,female,1,yes,yes,22,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,no,bank transfer (automatic),85.35,1961.6,no,12-24,85.28695652173913
2123-vscot,female,0,yes,yes,59,yes,yes,dsl,no,no,yes,yes,yes,no,two year,yes,bank transfer (automatic),72.1,4194.85,no,48+,69.91416666666667
6651-azvtj,male,0,yes,yes,49,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.8,4872.45,yes,48+,97.449
4566-goluk,male,0,yes,yes,47,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),107.35,5118.95,yes,24-48,106.64479166666666
2484-dgxpz,female,0,yes,yes,31,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.55,658.95,yes,24-48,20.5921875
2018-qkygt,male,0,yes,yes,1,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,81.05,81.05,no,0-6,40.525
2792-vppet,male,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,20.5,76.95,no,0-6,19.2375
